wavelength (microns), effective height (km)
0.400017610158,28.7236014086
0.400020813593,28.7233815978
0.400024001446,28.7232498907
0.400027204977,28.7230245851
0.400030408566,28.722841296
0.400033612207,28.7226762405
0.400036815899,28.7225257613
0.400040004007,28.7222910723
0.400043207793,28.7221262174
0.400046411639,28.7218928269
0.400049615536,28.7217558609
0.400052819484,28.7215918374
0.400056007847,28.7213880071
0.40005921189,28.7211926131
0.400062415992,28.7210139818
0.400065620146,28.7208297867
0.40006882435,28.7206676034
0.400072012969,28.7205288695
0.400075217268,28.7202514272
0.400078421626,28.7201084155
0.400081626036,28.7199067019
0.400084830497,28.7197026401
0.400088019371,28.719497861
0.400091223926,28.7193567835
0.400094428541,28.7191514825
0.400097633207,28.7189592756
0.400100837925,28.7188181982
0.400104027053,28.718564737
0.400107231865,28.7184236596
0.400110436737,28.7182825821
0.400113641659,28.7180785203
0.400116846633,28.7178417811
0.400120036017,28.7176708668
0.400123241086,28.7174182501
0.400126446213,28.7172554657
0.400129651393,28.7170932825
0.400132856623,28.7169090873
0.400136046262,28.7167408585
0.400139251587,28.7165786752
0.400142456971,28.7163957192
0.400145662407,28.7162534026
0.400148867894,28.7160531883
0.400152057788,28.7158208299
0.40015526337,28.7156538401
0.400158469011,28.7154310207
0.400161674703,28.7152720427
0.400164880446,28.715093141
0.400168070596,28.7149224621
0.400171276434,28.7147353947
0.400174482331,28.7145442198
0.40017768828,28.714409094
0.40018089428,28.7141132806
0.400184084685,28.7139722032
0.40018729078,28.7137664305
0.400190496934,28.713592499
0.400193703139,28.7133915228
0.400196909396,28.7131951598
0.400200100056,28.7130068532
0.400203306408,28.7128698872
0.400206512818,28.7126595406
0.40020971928,28.7124644796
0.400212925794,28.7122690855
0.400216116709,28.7121069023
0.400219323317,28.7119438129
0.400222529985,28.7117816297
0.400225736703,28.7116206856
0.400228943473,28.7113822815
0.400232134644,28.7112201014
0.400235341509,28.7109972819
0.400238548433,28.7108354317
0.400241755408,28.7106072904
0.400244962435,28.710471795
0.400248153862,28.7102699128
0.400251360983,28.7100762533
0.400254568164,28.7099111978
0.400257775396,28.7097235162
0.400260982679,28.7095182153
0.400264174361,28.709365701
0.40026738174,28.7091872744
0.400270589177,28.7089567562
0.400273796666,28.7087839163
0.400277004206,28.7085759341
0.400280196144,28.7083729043
0.400283403779,28.7081943939
0.400286611473,28.7080180607
0.400289819218,28.7078098874
0.400293027015,28.707656203
0.400296219209,28.7074814127
0.4002994271,28.7072972175
0.400302635051,28.707136505
0.400305843054,28.706880611
0.400309051107,28.7067016525
0.400312243556,28.7065199195
0.400315451705,28.7063618476
0.400318659913,28.706149563
0.400321868172,28.7060337028
0.400325076483,28.705798045
0.400328269187,28.7056372268
0.400331477593,28.7055190955
0.400334686057,28.7052932252
0.400337894573,28.7050865227
0.400341103141,28.7049318696
0.400344296101,28.7047350048
0.400347504763,28.7045117559
0.400350713485,28.7043597142
0.400353922258,28.7041512079
0.400357131082,28.7039881217
0.400360324298,28.7037613271
0.400363533217,28.7035896796
0.400366742196,28.7033621028
0.400369951226,28.7032030383
0.400373160307,28.7029916598
0.400376353779,28.7028537876
0.400379562955,28.7026780287
0.400382772191,28.7024671079
0.400385981478,28.7022740933
0.400389190816,28.7020702225
0.400392384543,28.7019332564
0.400395593976,28.7017253148
0.400398803469,28.7015340321
0.400402013013,28.7013065256
0.400405222608,28.7011686535
0.400408416591,28.7009372011
0.400411626282,28.7008213409
0.400414836031,28.7006582516
0.400418045832,28.7004121946
0.400421255685,28.7002575415
0.400424449923,28.7000527646
0.400427659871,28.6998321309
0.400430869877,28.6996714184
0.400434079935,28.699485383
0.400437290045,28.6992885182
0.400440484539,28.6991351042
0.400443694744,28.6989256918
0.400446905007,28.6987887258
0.400450115323,28.6986224311
0.400453325689,28.6984394751
0.40045652044,28.6982134864
0.400459730901,28.698023973
0.400462941422,28.697827305
0.400466151994,28.6976421757
0.400469362618,28.6974771201
0.400472557624,28.697292925
0.400475768343,28.6971035903
0.400478979121,28.6969274251
0.40048218995,28.6966982597
0.400485400831,28.6965211983
0.400488596094,28.6963627569
0.400491807069,28.6961126036
0.400495018104,28.6959456139
0.400498229191,28.6957793192
0.400501440329,28.6955638165
0.400504635848,28.6954227391
0.400507847081,28.6952576836
0.400511058373,28.6950523826
0.400514269717,28.6948406719
0.400517481112,28.6946995944
0.400520676886,28.6944746584
0.400523888377,28.694315185
0.400527099926,28.6941277845
0.400530311527,28.6939552309
0.40053352318,28.6937753605
0.40053671921,28.6935737608
0.400539930958,28.6933348099
0.400543142764,28.6932071207
0.400546354623,28.6929851013
0.400549566533,28.6928219525
0.400552762819,28.6926040511
0.400555974824,28.6924418678
0.400559186888,28.6922576727
0.400562399004,28.6920476592
0.400565611171,28.6919106931
0.400568807713,28.6917097169
0.400572019975,28.6915582691
0.400575232297,28.6912958595
0.40057844467,28.691150074
0.400581657095,28.6909421324
0.400584853893,28.6907644255
0.400588066413,28.6905628481
0.400591278991,28.6903861831
0.400594491622,28.690202894
0.400597704304,28.6900618166
0.400600901358,28.6898987272
0.400604114135,28.6896914601
0.400607326972,28.6895368069
0.40061053986,28.6893601419
0.400613752799,28.6890792207
0.40061695011,28.6889118941
0.400620163144,28.6887078715
0.400623376238,28.6885204711
0.400626589383,28.6883910351
0.40062980258,28.688144069
0.400633000147,28.6880071029
0.400636213438,28.6878660255
0.40063942679,28.6876818303
0.400642640192,28.6874530878
0.400645853647,28.6872652239
0.40064905147,28.6870599229
0.400652265019,28.6868834265
0.400655478628,28.6867309122
0.400658692288,28.6864901963
0.400661906,28.6863743361
0.400665104079,28.68618089
0.400668317886,28.6859778602
0.400671531752,28.6857875874
0.40067474567,28.6856146623
0.400677959639,28.6853522933
0.400681157975,28.685236433
0.400684372039,28.6850682042
0.400687586163,28.6847975576
0.400690800338,28.6846387707
0.400694014565,28.6844296633
0.400697213157,28.6842454681
0.400700427479,28.6841043907
0.40070364186,28.683915056
0.400706856294,28.6836915907
0.400710070778,28.6835517524
0.400713269626,28.6833643519
0.400716484206,28.6832053739
0.400719698845,28.6830161332
0.400722913535,28.6828280377
0.400726128278,28.6825832063
0.400729327382,28.6824673461
0.400732542219,28.6823051628
0.400735757116,28.6821013326
0.400738972064,28.6819270475
0.400742187064,28.6816580413
0.400745386425,28.681494952
0.40074860152,28.6813298965
0.400751816674,28.6811466074
0.40075503188,28.680983518
0.400758247138,28.6808540821
0.400761446755,28.6806142906
0.400764662108,28.6804347309
0.40076787752,28.6802258551
0.400771092983,28.6800466628
0.400774308499,28.6798354101
0.400777508373,28.6796819961
0.400780723983,28.6794851313
0.400783939653,28.679322042
0.400787155374,28.6791385462
0.400790371147,28.678976363
0.400793571278,28.6787892955
0.400796787146,28.6785905905
0.400800003073,28.678359091
0.400803219052,28.6781278609
0.400806435083,28.6779908948
0.40080963547,28.6778034944
0.400812851596,28.6776656222
0.400816067781,28.6774270923
0.400819284018,28.6773141043
0.400822500307,28.6771040908
0.40082570095,28.6769208017
0.400828917334,28.6767557462
0.400832133777,28.6765297287
0.400835350272,28.6763192882
0.400838566818,28.6761427917
0.400841767719,28.6759797024
0.40084498436,28.6757724353
0.400848201061,28.6756221921
0.400851417814,28.6754121808
0.400854634618,28.6751927116
0.400857835775,28.675026417
0.400861052674,28.6748689097
0.400864269633,28.6746407684
0.400867486644,28.6744996941
0.400870703706,28.6742629779
0.40087390512,28.6740370991
0.400877122277,28.6738783122
0.400880339494,28.6736720185
0.400883556762,28.6734858572
0.400886774082,28.6733447797
0.400889975753,28.6731605846
0.400893193168,28.6729319797
0.400896410643,28.6727679562
0.400899628169,28.672582729
0.400902845747,28.6724228169
0.400906047674,28.6722325442
0.400909265347,28.6720735662
0.40091248308,28.6718235954
0.400915700865,28.6717077351
0.400918918701,28.671477217
0.400922120884,28.6713177436
0.400925338816,28.671157031
0.400928556806,28.6709035699
0.400931774849,28.670735341
0.400934992943,28.6705702855
0.400938195384,28.6703649845
0.400941413573,28.6702239071
0.400944631822,28.6700828297
0.400947850122,28.6698598192
0.400951068475,28.6696521739
0.400954271172,28.6694451383
0.400957489619,28.6692665253
0.400960708126,28.6690762526
0.400963926685,28.6689392865
0.400967145295,28.6687298742
0.400970348249,28.668550602
0.400973566955,28.6683765897
0.40097678572,28.6681684165
0.400980004537,28.668004393
0.400983223405,28.6678422097
0.400986426616,28.6675697497
0.40098964558,28.6673691066
0.400992864603,28.6671943163
0.400996083678,28.667019526
0.400999302804,28.6668576758
0.401002506272,28.6666473292
0.401005725494,28.6665197336
0.401008944775,28.6662949052
0.401012164108,28.666155973
0.401015383493,28.6659269255
0.401018587218,28.6657914302
0.401021806698,28.6655904317
0.401025026237,28.6653960571
0.401028245829,28.6651944798
0.401031465472,28.6650121249
0.401034669454,28.6648481014
0.401037889192,28.664685012
0.40104110899,28.6644777449
0.401044328839,28.6643230917
0.40104754874,28.664140572
0.401050752979,28.6639009938
0.401053972976,28.6637611555
0.401057193032,28.66351619
0.40106041314,28.6633489074
0.401063633299,28.6631377518
0.401066837795,28.6629303643
0.40107005805,28.6627429638
0.401073278364,28.6626271036
0.40107649873,28.6624176912
0.401079719148,28.6622307988
0.401082923901,28.6620279356
0.401086144414,28.6618207943
0.401089364987,28.661634633
0.401092585611,28.6614935556
0.401095806287,28.6612705451
0.401099011297,28.6610981825
0.401102232069,28.6609687465
0.4011054529,28.6607142503
0.401108673783,28.660575444
0.401111894717,28.6603698791
0.401115099984,28.6601897954
0.401118321014,28.6599859469
0.401121542104,28.6598194679
0.401124763245,28.6595771207
0.401127984438,28.6594502112
0.401131189962,28.6592980845
0.40113441125,28.6590104404
0.401137632598,28.6588787333
0.401140853998,28.6587011341
0.401144075449,28.6584325849
0.401147281231,28.6582915074
0.401150502777,28.6581756472
0.401153724384,28.657945129
0.401156946042,28.6578156931
0.401160167752,28.6575907388
0.40116337379,28.6574088148
0.401166595596,28.6572303044
0.40116981746,28.6570634131
0.401173039377,28.6567824102
0.401176261345,28.6566230713
0.401179467641,28.6564220952
0.401182689705,28.6562265321
0.401185911828,28.6560728476
0.401189134004,28.6558877183
0.40119235623,28.6557035231
0.401195562783,28.6555248919
0.401198785106,28.6553491329
0.401202007488,28.6551649378
0.401205229921,28.6549845901
0.401208452407,28.6547658821
0.401211659217,28.6545670879
0.401214881798,28.6543642714
0.401218104438,28.6541926239
0.401221327131,28.6539803392
0.401224549875,28.653864479
0.401227756943,28.6536559727
0.401230979782,28.6535181006
0.401234202681,28.6533634474
0.401237425632,28.6531033344
0.401240648635,28.652917299
0.40124385596,28.6527363085
0.401247079058,28.6525094257
0.401250302216,28.6523223583
0.401253525425,28.6521465994
0.401256748687,28.6519708404
0.401259956269,28.651807751
0.401263179626,28.6516455678
0.401266403042,28.6514168991
0.401269626511,28.6511860113
0.40127285003,28.6510114915
0.40127605787,28.6508105153
0.401279281486,28.6506549337
0.401282505161,28.6504498237
0.401285728888,28.6503128577
0.401288952667,28.6501005731
0.401292160764,28.6499289255
0.401295384638,28.6497513263
0.401298608572,28.6495489667
0.401301832558,28.6493416996
0.401305056595,28.6492006222
0.40130826495,28.6490249258
0.401311489083,28.648815454
0.401314713276,28.6486368227
0.40131793752,28.6484383144
0.401321161816,28.6482320793
0.401324370429,28.6480910018
0.401327594821,28.6479095165
0.401330819272,28.6476677994
0.401334043775,28.6475383635
0.40133726833,28.6473289511
0.4013404772,28.6471919851
0.401343701851,28.6470017124
0.401346926561,28.6468197883
0.401350151323,28.6466294217
0.401353376137,28.6464476886
0.401356585265,28.646245784
0.401359810174,28.6460639657
0.401363035143,28.6458910374
0.401366260164,28.6456706484
0.401369485237,28.6454583676
0.401372694622,28.6453402363
0.40137591979,28.6451078809
0.401379145018,28.6449217196
0.401382370298,28.6448058594
0.40138559563,28.6445753412
0.401388805273,28.6444035708
0.4013920307,28.644154248
0.401395256187,28.6439438729
0.401398481726,28.6437775783
0.401401707316,28.6436387719
0.401404917217,28.6433724467
0.401408142903,28.643217606
0.401411368649,28.6430765286
0.401414594447,28.6428712276
0.401417820296,28.6427301502
0.401421030454,28.6425650946
0.401424256399,28.6423205235
0.401427482404,28.6420699515
0.401430708461,28.641928874
0.40143393457,28.6417235731
0.401437144985,28.6415824956
0.40144037119,28.6414077053
0.401443597453,28.6411892686
0.401446823769,28.6409958225
0.401450050137,28.6408588565
0.401453260811,28.640626498
0.401456487274,28.6404473896
0.401459713797,28.6402599891
0.401462940372,28.6400588702
0.401466166998,28.6398477146
0.40146937793,28.6396867705
0.401472604652,28.6394773581
0.401475831434,28.6393385518
0.401479058268,28.6391993146
0.401482285154,28.6389681953
0.401485496343,28.6387999664
0.401488723324,28.6385774072
0.401491950365,28.6384143178
0.401495177458,28.6382732404
0.401498404603,28.638073481
0.40150161605,28.6378674649
0.401504843291,28.6376878682
0.401508070591,28.6374438088
0.401511297943,28.6373059366
0.401514525347,28.637139642
0.401517737052,28.6369413993
0.401520964552,28.6367094796
0.401524192111,28.6365664679
0.401527419723,28.6363579616
0.401530647386,28.6362200895
0.401533859349,28.6360109821
0.401537087108,28.6358133799
0.401540314927,28.6356367148
0.401543542797,28.6354609558
0.40154677072,28.6352747945
0.401549982941,28.635072435
0.401553210959,28.6348865937
0.401556439036,28.6347244105
0.401559667166,28.6345008212
0.401562895348,28.6343235769
0.401566107827,28.6341636647
0.401569336104,28.6339627511
0.401572564441,28.6337777591
0.401575792831,28.6335663805
0.401579021271,28.6334149327
0.401582234008,28.6331277622
0.401585462545,28.6330137422
0.401588691141,28.6328024896
0.40159191979,28.6326655235
0.40159514849,28.6324781231
0.401598361485,28.6323026971
0.401601590281,28.6321269382
0.401604819137,28.6319647549
0.401608048045,28.6317422685
0.401611277004,28.6315393444
0.401614490257,28.6313556858
0.401617719313,28.6311790207
0.401620948428,28.6309821559
0.401624177595,28.6308171004
0.401627406814,28.6306792283
0.401630620325,28.630458115
0.40163384964,28.6303296477
0.401637079014,28.6300691058
0.401640308441,28.6298981444
0.401643537919,28.6296834559
0.401646751688,28.6294517185
0.401649981262,28.6292528812
0.401653210896,28.629137021
0.401656440582,28.6289004572
0.40165967032,28.6287272973
0.401662884348,28.6285740041
0.401666114181,28.6283668629
0.401669344074,28.6282046796
0.40167257402,28.6280439671
0.401675804017,28.6277890074
0.401679018303,28.6276091146
0.401682248396,28.6274503277
0.401685478549,28.6272421545
0.401688708754,28.6270570251
0.40169193901,28.6269057523
0.401695153554,28.626663742
0.401698383907,28.6264722332
0.401701614319,28.6263323949
0.401704844784,28.6260822417
0.4017080753,28.6259227683
0.401711290102,28.6257564736
0.401714520714,28.6255492384
0.401717751386,28.6253475248
0.40172098211,28.6252087185
0.401724212886,28.6249542222
0.401727427947,28.624838362
0.401730658818,28.6246972846
0.40173388975,28.6244648322
0.401737120733,28.6242801416
0.401740351769,28.624119429
0.401743567088,28.6239141281
0.401746798219,28.6237721164
0.40175002941,28.6235639432
0.401753260653,28.6233391896
0.401756491948,28.6231981121
0.401759707525,28.6230139169
0.401762938916,28.6228159343
0.401766170367,28.6226370326
0.40176940187,28.6224387845
0.401772633424,28.6221792746
0.40177584926,28.6220623824
0.401779080911,28.6218520358
0.401782312621,28.6217150698
0.401785544384,28.6215247971
0.401788776198,28.6213304001
0.401791992292,28.6210938363
0.401795224202,28.620999988
0.401798456172,28.620794687
0.401801688195,28.6205454034
0.401804920269,28.6204263378
0.401808136621,28.6202210369
0.401811368791,28.6200288299
0.401814601021,28.6198657406
0.401817833303,28.6196824515
0.401821065637,28.6195413741
0.401824282248,28.6193522706
0.401827514678,28.6190874384
0.401830747167,28.6188995745
0.401833979709,28.6187388619
0.401837212302,28.6185469492
0.401840429172,28.6183448474
0.401843661862,28.6182078814
0.401846894611,28.6179870322
0.401850127413,28.6178086056
0.401853360266,28.6175982591
0.401856577394,28.6174392811
0.401859810343,28.6172253517
0.401863043352,28.6170325568
0.401866276414,28.6168035093
0.401869509527,28.6166604977
0.401872726914,28.6164983144
0.401875960123,28.6162798733
0.401879193392,28.6161055819
0.401882426713,28.6159663448
0.401885660086,28.6157592035
0.401888877732,28.6155543895
0.401892111201,28.6153795992
0.40189534473,28.6151273752
0.401898578311,28.614957539
0.401901811944,28.6147953557
0.401905029848,28.6146123997
0.401908263577,28.6143960075
0.401911497366,28.6142350634
0.401914731207,28.614025651
0.4019179651,28.6139097908
0.401921183262,28.6137012845
0.401924417251,28.6135437773
0.4019276513,28.6133067181
0.401930885401,28.6131309367
0.401934119554,28.6129249207
0.401937337975,28.6127621363
0.401940572224,28.6125788472
0.401943806533,28.6124157579
0.401947040894,28.6122223118
0.401950275307,28.61206424
0.401953493987,28.6118645655
0.401956728496,28.6116912459
0.401959963065,28.6114531599
0.401963197686,28.6112778548
0.401966432359,28.6110679384
0.401969651298,28.6108669399
0.401972886067,28.6107038505
0.401976120896,28.6105176892
0.401979355777,28.6103555059
0.40198259071,28.6101788409
0.401985809907,28.610005353
0.401989044936,28.6097972855
0.401992280025,28.6096050032
0.401995515167,28.6094057737
0.40199875036,28.6092688077
0.402001969816,28.6090252378
0.402005205105,28.6088569866
0.402008440454,28.6086695861
0.402011675856,28.6085104015
0.402014911309,28.608254971
0.402018131024,28.6081206388
0.402021366573,28.6078610175
0.402024602183,28.6076401746
0.402027837844,28.6074990972
0.402031073558,28.6073360078
0.402034293532,28.6071527188
0.402037529341,28.6069699538
0.402040765211,28.6067641424
0.402044001132,28.6065328947
0.402047237106,28.6063918173
0.402050457339,28.6062287279
0.402053693408,28.6059821906
0.402056929538,28.6058411132
0.40206016572,28.6056774496
0.402063401954,28.6054191737
0.402066622446,28.6052803674
0.402069858776,28.605115007
0.402073095165,28.6049162795
0.402076331608,28.6047322754
0.402079568102,28.6045357437
0.402082788853,28.6043221604
0.402086025443,28.6041304449
0.402089262093,28.6039210325
0.402092498795,28.6037611204
0.40209573555,28.6036177718
0.40209895656,28.6034222721
0.40210219341,28.6032225351
0.40210543032,28.6030814576
0.402108667283,28.602879553
0.402111904298,28.6026756822
0.402115125567,28.6025149696
0.402118362678,28.602283988
0.402121599848,28.6020988586
0.402124837071,28.6019577812
0.402128074346,28.6017377789
0.402131295875,28.6015637667
0.402134533246,28.6014226892
0.402137770677,28.6012038125
0.40214100816,28.6010251813
0.402144245695,28.6008663944
0.402147467483,28.600648966
0.402150705114,28.6003908981
0.402153942806,28.6002529393
0.40215718055,28.6000088454
0.402160418345,28.599854978
0.402163640392,28.5996435994
0.402166878284,28.5994846215
0.402170116236,28.5993183268
0.40217335424,28.5991584147
0.402176592296,28.5989208189
0.402179814602,28.5987073235
0.402183052754,28.5985451402
0.402186290966,28.5983609451
0.402189529231,28.5981706723
0.402192767548,28.5980337063
0.402195990112,28.5978359354
0.402199228525,28.5976812823
0.402202466998,28.5974745852
0.402205705523,28.5972674439
0.4022089441,28.5971067314
0.402212166925,28.596888328
0.402215405598,28.5966289554
0.402218644331,28.5964878779
0.402221883117,28.5963256947
0.402225121955,28.5961414995
0.402228345038,28.5960016612
0.402231583972,28.5957913146
0.402234822966,28.5956271972
0.402238062012,28.5954369245
0.40224130111,28.5952354378
0.402244524453,28.5950063903
0.402247763647,28.5948905301
0.402251002902,28.5946677106
0.402254242209,28.5944576032
0.402257481568,28.5942903743
0.402260705169,28.5940970429
0.402263944625,28.5938955864
0.40226718414,28.5937797261
0.402270423707,28.593549208
0.402273663327,28.5933408913
0.402276887188,28.5931529954
0.402280126904,28.5929603046
